,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,proposição,nome,data de votação,description,a favor,contra,não votou,abstenção,ausente,link
,pec 55 de 2016 1t,PEC do teto dos gastos públicos,29.nov.2016,"A PEC 55 de 2016 cria um regime fiscal que estabelece limites para as despesas públicas durante 20 anos. A proposta de emenda à Constituição foi aprovada, em dois turnos, por mais de 3/5 da Câmara e do Senado. A PEC foi promulgada em 15 de dezembro de 2016.",61,14,1,0,5,https://www25.senado.leg.br/web/atividade/materias/-/materia/127337
,pec 55 de 2016 2t,PEC do teto dos gastos públicos,13.dez.2016,"A PEC 55 de 2016 cria um regime fiscal que estabelece limites para as despesas públicas durante 20 anos. A proposta de emenda à Constituição foi aprovada, em dois turnos, por mais de 3/5 da Câmara e do Senado. A PEC foi promulgada em 15 de dezembro de 2016.",53,16,1,0,11,https://www25.senado.leg.br/web/atividade/materias/-/materia/127337
,plc 38 de 2017 plen,Reforma trabalhista,11.jul.2017,"O PLC 38 de 2017 faz uma série de mudanças na legislação trabalhista. Entre as mudanças, destacam-se a flexibilização da jornada de trabalho, a contribuição sindical facultativa e a regulamentação do home office. O projeto foi sancionado em 13 de julho de 2017. ",50,26,1,1,3,https://www25.senado.leg.br/web/atividade/materias/-/materia/129049
,mpv 746 de 2016 plen,Reforma do ensino médio,8.fev.2017,A medida provisória 746 de 2016 flexibiliza as disciplinas do ensino médio e amplia o ensino integral. A proposição é uma tentativa de tornar os estudos mais atrativos e diminuir a evasão escolar. A sanção da medida ocorreu em 16 de fevereiro de 2017.,43,13,0,0,25,https://www25.senado.leg.br/web/atividade/materias/-/materia/126992
,pec 10 de 2013 1t,PEC do foro privilegiado,26.abr.2017,"A PEC 10 de 2013 concede direito ao foro privilegiado a apenas os chefes de Executivo, Legislativo e Judiciário. A proposta foi aprovada, em dois turnos, no Senado e espera a análise de deputados. O tema também está para ser analisado pelo plenário do STF.",75,0,0,0,6,https://www25.senado.leg.br/web/atividade/materias/-/materia/111574
,pec 10 de 2013 2t,PEC do foro privilegiado,31.mai.2017,"A PEC 10 de 2013 concede direito ao foro privilegiado a apenas os chefes de Executivo, Legislativo e Judiciário. A proposta foi aprovada, em dois turnos, no Senado e espera a análise de deputados. O tema também está para ser analisado pelo plenário do STF.",69,0,1,1,10,https://www25.senado.leg.br/web/atividade/materias/-/materia/111574
,pls 85 de 2017,Projeto sobre abuso de autoridade,26.abr.2017,"O PLS 85 de 2017 define os crimes de abuso de autoridade e estabelece punições para agentes públicos, servidores ou não, que cometerem tais crimes. A proposição é alvo de críticas por integrantes do Judiciário e do MP. Aprovado no Senado, o projeto tramita na Câmara.",54,19,1,0,7,https://www25.senado.leg.br/web/atividade/materias/-/materia/128545
,plc 39 de 2017,Regime de Recuperação Fiscal dos Estados e do DF / socorro aos estados,17.mai.2017,"O PLC 39 de 2017 autoriza a suspensão do pagamento da dívida com a União por estados com alto endividamento. O regime pode durar até três anos e ser prorrogável por igual período. Publicada no Diário Oficial de 22 de maio de 2017, a lei exige contrapartidas dos estados, como a contenção de gastos. ",56,9,1,0,15,https://www25.senado.leg.br/web/atividade/materias/-/materia/129171
,pec 50 de 2016 1t,PEC da vaquejada,14.fev.2017,"A PEC 50 de 2016 assegura a prática da vaquejada como manifestação cultural. A proposta de emenda à Constituição contraria decisão do STF, de outubro de 2016, que considera o sofrimento imposto aos animais pela vaquejada. A PEC foi promulgada em 6 de junho de 2017.",55,8,1,3,14,http://www25.senado.leg.br/web/atividade/materias/-/materia/127262
,pec 50 de 2016 2t,PEC da vaquejada,14.fev.2017,"A PEC 50 de 2016 assegura a prática da vaquejada como manifestação cultural. A proposta de emenda à Constituição contraria decisão do STF, de outubro de 2016, que considera o sofrimento imposto aos animais pela vaquejada. A PEC foi promulgada em 6 de junho de 2017.",55,8,1,3,14,http://www25.senado.leg.br/web/atividade/materias/-/materia/127262
,impeachment,Cassação do mandato de Dilma Rousseff,31.ago.2016,"A ex-presidente Dilma Rousseff teve o mandato cassado em 31 de agosto de 2016. A denúncia apresentada se fundamentou em dois crimes: 1) suposta abertura de créditos suplementares por decretos presidenciais, sem autorização do Congresso e; 2) contratação ilegal de operações de crédito.",61,20,0,0,0,http://www25.senado.leg.br/web/atividade/materias/-/materia/125567
,impeachment dest,Inelegibilidade de Dilma Rousseff por 8 anos,31.ago.2016,"O destaque foi apresentado no julgamento de Dilma Rousseff, em 31 de agosto de 2016. Na votação, não houve votos suficientes para tornar a petista inelegível por oito anos. O mandato de Dilma já tinha sido cassado pelos senadores, em sessão presidida pelo então presidente do STF, Ricardo Lewandowski. ",42,36,0,3,0,http://www25.senado.leg.br/web/atividade/materias/-/materia/125567