,,,,,,,
,,,,,,,
,,,,,,,
,numero,nome,partido,uf,twitter,facebook,instagram
,,Acir Gurgacz,PDT,RO,https://twitter.com/acirgurgacz,https://www.facebook.com/AcirGurgacz/,https://www.instagram.com/acir_gurgacz/
,0,Aécio Neves,PSDB,MG,https://twitter.com/aecioneves,https://www.facebook.com/AecioNevesOficial/,https://www.instagram.com/aecionevesoficial/
,,Airton Sandoval,PMDB,SP,https://twitter.com/AirtonSandoval,https://www.facebook.com/senadorairtonsandoval/,/
,1,Aloysio Nunes Ferreira,PSDB,SP,https://twitter.com/aloysio_nunes,http://www.facebook.com/aloysionunes,https://www.instagram.com/aloysio_nunes/
,2,Alvaro Dias,PODEMOS,PR,https://twitter.com/alvarodias_,https://www.facebook.com/ad.alvarodias/,https://www.instagram.com/ad.alvarodias/
,3,Ana Amélia,PP,RS,https://twitter.com/anaamelialemos,https://www.facebook.com/anaamelialm/,https://www.instagram.com/anaamelialemos_
,4,Ângela Portela,PDT,RR,https://twitter.com/angelaportelarr,https://www.facebook.com/angelaportelasenadora/,https://www.instagram.com/angelaportelarr/
,5,Antonio Anastasia,PSDB,MG,https://twitter.com/anastasia,https://www.facebook.com/AntonioAnastasiaOficial/,https://www.instagram.com/antonio.anastasia/
,6,Antonio Carlos Valadares,PSB,SE,https://twitter.com/valadarespsb,https://www.facebook.com/ValadaresPSB/,https://www.instagram.com/senadorvaladares/
,7,Armando Monteiro,PTB,PE,https://twitter.com/armandoptb,https://www.facebook.com/armandomonteironeto/,https://www.instagram.com/armandomonteironeto/
,8,Ataídes Oliveira,PSDB,TO,https://twitter.com/senador_ataides,https://www.facebook.com/SenadorAtaidesOliveira/,/
,9,Benedito de Lira,PP,AL,https://twitter.com/biudelira,https://www.facebook.com/BeneditodeLira/,https://www.instagram.com/biudelira
,,Cássio Cunha Lima,PSDB,PB,https://twitter.com/cassiocl,https://www.facebook.com/cassiocunhalima,https://www.instagram.com/cassiocl_
,10,Cidinho Santos,PR,MT,https://twitter.com/cidinho_santos,https://www.facebook.com/CidinhoSantos.br/,https://www.instagram.com/cidinhosantos/
,11,Ciro Nogueira,PP,PI,https://twitter.com/ciro_nogueira,https://www.facebook.com/cironogueira/,https://www.instagram.com/cironogueira/
,12,Cristovam Buarque,PPS,DF,https://twitter.com/sen_cristovam,https://www.facebook.com/Cristovam.Buarque/,https://www.instagram.com/buarquecristovam/
,13,Dalirio Beber,PSDB,SC,https://twitter.com/daliriobeber,https://www.facebook.com/senadordaliriobeber/,/
,14,Dário Berger,PMDB,SC,https://twitter.com/darioberger,https://www.facebook.com/DarioEliasBerger/,https://www.instagram.com/dariobergersenador/
,15,Davi Alcolumbre,DEM,AP,https://twitter.com/davialcolumbre,https://www.facebook.com/davi.alcolumbre/,https://www.instagram.com/davialcolumbre/
,16,Deca,PSDB,PB,https://twitter.com/senadordeca,https://www.facebook.com/senadordeca/,https://www.instagram.com/senadordeca/
,17,Edison Lobão,PMDB,MA,https://twitter.com/senadorlobao,https://www.facebook.com/senadoredisonlobao/,/
,18,Eduardo Amorim,PSDB,SE,https://twitter.com/eduardoamorimse,https://www.facebook.com/eduardoamorimse/,https://www.instagram.com/eduardoamorimse/
,19,Eduardo Braga,PMDB,AM,https://twitter.com/eduardobraga_am,https://www.facebook.com/EduardoBraga15/,https://www.instagram.com/eduardobraga_am
,,Eduardo Lopes,PRB,RJ,https://twitter.com/eduardolopesprb,https://www.facebook.com/eduardolopesprb/,https://www.instagram.com/eduardolopesprb/
,20,Elmano Férrer,PMDB,PI,https://twitter.com/elmanoferrer,https://www.facebook.com/elmanoferreroficial/,https://www.instagram.com/elmanoferreroficial/
,21,Eunício Oliveira,PMDB,CE,https://twitter.com/eunicio,https://www.facebook.com/Eun%C3%ADcio-Oliveira-147474322001734/,https://www.instagram.com/euniciooliveira/
,22,Fátima Bezerra,PT ,RN,https://twitter.com/fatimabezerra,https://www.facebook.com/FatimaBezerra13/,https://www.instagram.com/fatimabezerra13/
,23,Fernando Bezerra Coelho,PSB,PE,https://twitter.com/fbezerracoelho,https://www.facebook.com/fernando.bezerracoelho/,https://www.instagram.com/fbezerracoelho/
,24,Fernando Collor,PTC,AL,https://twitter.com/collor,https://www.facebook.com/colloralagoas/?ref=br_rs,https://www.instagram.com/fernando_collor/
,25,Flexa Ribeiro,PSDB,PA,https://twitter.com/senadorflexa,https://www.facebook.com/senadorflexaribeiro/,https://www.instagram.com/senador_flexa_ribeiro/
,26,Garibaldi Alves Filho,PMDB,RN,https://twitter.com/garibaldifilho,https://www.facebook.com/SenadorGaribaldiAlves/,/
,27,Gladson Cameli,PP,AC,https://twitter.com/gladsoncameli,https://www.facebook.com/GladsonCameli/,https://www.instagram.com/gladsoncameli/
,28,Gleisi Hoffmann,PT,PR,https://twitter.com/gleisi,https://www.facebook.com/gleisi.hoffmann/,https://www.instagram.com/gleisihoffmann/
,29,Hélio José,PMDB,DF,https://twitter.com/senador_helio,https://www.facebook.com/senadorheliojose/,https://www.instagram.com/senadorheliojose/
,30,Humberto Costa,PT,PE,https://twitter.com/humbertocostapt,https://www.facebook.com/humbertocostapt/,https://www.instagram.com/humbertocostapt/
,31,Ivo Cassol,PP,RO,https://twitter.com/ivocassol,https://www.facebook.com/IVOCASSOLOFICIAL/,/
,32,Jader Barbalho,PMDB,PA,https://twitter.com/jader_barbalho,https://www.facebook.com/JaderpeloPara/,https://www.instagram.com/jaderbarbalho/
,33,João Alberto Souza,PMDB,MA,https://twitter.com/senjoaoalberto,https://www.facebook.com/joaoalbertoma/,/
,34,João Capiberibe,PSB,AP,https://twitter.com/joaocapi,https://www.facebook.com/SenadorJoaoCapiberibe/,https://www.instagram.com/joaocapi/
,35,Jorge Viana,PT,AC,https://twitter.com/jorgeviana,https://www.facebook.com/senadorjorgeviana/,/
,36,José Agripino,DEM,RN,https://twitter.com/joseagripino,https://www.facebook.com/joseagripinomaia/,https://www.instagram.com/joseagripinomaia/
,37,José Aníbal,PSDB,SP,https://twitter.com/jose_anibal,https://www.facebook.com/joseanibal45/,https://www.instagram.com/joseanibal45/
,38,José Maranhão,PMDB,PB,https://twitter.com/josemaranhaopb,https://www.facebook.com/zemaranhao/,https://www.instagram.com/josemaranhaopb/
,39,José Medeiros,PSD ,MT,https://twitter.com/josemedeirosmt,https://www.facebook.com/senadorjosemedeiros/,https://www.instagram.com/senadorjosemedeiros/
,40,José Pimentel,PT,CE,https://twitter.com/josepimentel,https://www.facebook.com/JosePimentelPT/,/
,,José Serra,PSDB,SP,https://twitter.com/joseserra_,https://www.facebook.com/JoseSerraOficial,https://www.instagram.com/_joseserra/
,41,Kátia Abreu,PMDB,TO,https://twitter.com/KatiaAbreu,https://www.facebook.com/senadorakatiaabreu/,https://www.instagram.com/senadorakatiaabreu/
,42,Lasier Martins,PSD,RS,https://twitter.com/lasiermartins,https://www.facebook.com/LasierMartinsOficial/,https://www.instagram.com/lasiermartins/
,43,Lídice da Mata,PSB,BA,https://twitter.com/lidicedamata,https://www.facebook.com/LidicedaMata/,https://www.instagram.com/lidicedamata/
,44,Lindbergh Farias,PT,RJ,https://twitter.com/LindbergFarias,https://www.facebook.com/lindbergh.farias/,https://www.instagram.com/lindberghfarias/
,45,Lúcia Vânia,PSB,GO,https://twitter.com/Lucia_Vania,https://www.facebook.com/luciavaniasenadora/,/
,46,Magno Malta,PR,ES,https://twitter.com/MagnoMaltaOfc,https://www.facebook.com/magnomalta/,https://www.instagram.com/magnomalta/
,47,Marcelo Crivella,PRB,RJ,https://twitter.com/MCrivella,https://www.facebook.com/marcelocrivella/,https://www.instagram.com/mcrivella/
,,Maria do Carmo Alves,DEM,SE,https://twitter.com/mariasenadora,https://www.facebook.com/mariadocarmo251/,/
,48,Marta Suplicy,PMDB,SP,https://twitter.com/SenadoraMarta,https://www.facebook.com/SenadoraMarta/,https://www.instagram.com/senadoramarta/
,49,Omar Aziz,PSD,AM,https://twitter.com/OmarAzizPSD,https://www.facebook.com/OmarAzizPSD/,https://www.instagram.com/omarazizpsd/
,50,Otto Alencar,PSD,BA,https://twitter.com/ottoalencar,https://www.facebook.com/ottoalencaroficial/,https://www.instagram.com/ottoalencar/
,51,Pastor Valadares,PDT,RO,/,https://pt-br.facebook.com/senadorpastorvaladares/,/
,52,Paulo Bauer,PSDB,SC,https://twitter.com/paulobauer45,https://www.facebook.com/paulobauer/,https://www.instagram.com/paulobauer45/
,53,Paulo Paim,PT,RS,https://twitter.com/paulopaim,https://www.facebook.com/paulopaim/,https://www.instagram.com/paulopaimsenador/
,54,Paulo Rocha,PT,PA,https://twitter.com/Sen_PauloRocha,https://www.facebook.com/PauloRochaSenador/,https://www.instagram.com/paulorocha_senador/
,55,Pedro Chaves,PSC,MS,https://twitter.com/senpedrochaves,https://www.facebook.com/senadorpedrochaves/,https://www.instagram.com/senadorpedrochaves/
,56,Pinto Itamaraty,PSDB,MA,https://twitter.com/pintoitamaraty,https://www.facebook.com/PintoItamaraty/,/
,57,Raimundo Lira,PMDB,PB,https://twitter.com/RaimundoLiraPB,https://www.facebook.com/SenadorRaimundoLira/,https://www.instagram.com/senadorraimundolira/
,58,Randolfe Rodrigues,REDE,AP,https://twitter.com/randolfeap,https://www.facebook.com/randolferodrigues/,https://www.instagram.com/randolferodrigues/
,59,Regina Sousa,PT,PI,https://twitter.com/SenadoraRegina,https://www.facebook.com/senadorareginasousa/,/
,60,Reguffe,S/SIGLA,DF,https://twitter.com/Reguffe,https://www.facebook.com/reguffeoficial/,https://www.instagram.com/reguffe/
,61,Renan Calheiros,PMDB,AL,https://twitter.com/renancalheiros,https://www.facebook.com/renancalheirosoficial/,/
,62,Ricardo Ferraço,PSDB,ES,https://twitter.com/RicardoFerraco,https://www.facebook.com/RicardoFerraco/,https://www.instagram.com/ricardoferraco/
,63,Roberto Muniz,PP,BA,/,/,/
,64,Roberto Requião,PMDB,PR,https://twitter.com/requiaopmdb,https://www.facebook.com/robertorequiao/,https://www.instagram.com/requiaopmdb/
,,Roberto Rocha,PSB,MA,https://twitter.com/robertorocha400,https://www.facebook.com/robertorocha400/,https://www.instagram.com/robertorocha400/
,65,Romário,PODEMOS,RJ,https://twitter.com/RomarioOnze,https://www.facebook.com/romariodesouzafaria/,https://www.instagram.com/romariofaria/
,66,Romero Jucá,PMDB,RR,https://twitter.com/romerojuca,https://www.facebook.com/senromerojuca/,https://www.instagram.com/senromerojuca/
,67,Ronaldo Caiado,DEM,GO,https://twitter.com/ronaldocaiado,https://www.facebook.com/ronaldocaiado25/,https://www.instagram.com/ronaldocaiado/
,68,Rose de Freitas,PMDB,ES,https://twitter.com/senadorarose,https://www.facebook.com/senadorarosedefreitas/,/
,69,Sérgio Petecão,PSD,AC,https://twitter.com/senadorpetecao,https://www.facebook.com/sergiopetecao/,/
,70,Simone Tebet,PMDB,MS,https://twitter.com/SimoneTebetms,https://www.facebook.com/simonetebet/,https://www.instagram.com/simonetebet/
,71,Tasso Jereissati,PSDB,CE,https://twitter.com/tassocomvoce,https://www.facebook.com/tassocomvoce/,https://www.instagram.com/tassocomvoce/
,72,Telmário Mota,PTB,RR,https://twitter.com/TelmarioMotaRR,https://www.facebook.com/telmariomotarr/,https://www.instagram.com/telmariomotarr
,,Thieres Pinto,PTB,RR,/,/,/
,73,Valdir Raupp,PMDB,RO,https://twitter.com/SENADORRAUPP,https://www.facebook.com/senadorrauppro/,/
,74,Vanessa Grazziotin,PCDOB,AM,https://twitter.com/vanessasenadora,https://www.facebook.com/VanessaGrazziotin/,https://www.instagram.com/vanessagrazziotin/
,75,Vicentinho Alves,PR,TO,https://twitter.com/SenVicentinho,https://www.facebook.com/vicentinhoalves/?ref=br_rs,/
,76,Virginio de Carvalho,PSC,SE,/,https://www.facebook.com/senadorvirginiodecarvalho/,/
,77,Waldemir Moka,PMDB,MS,https://twitter.com/senadormoka,https://www.facebook.com/SenadorWaldemirMOKA/,https://instagram.com/senadormoka/
,78,Wellington Fagundes,PR,MT,https://twitter.com/sen_wellington,https://www.facebook.com/wellington.fagundes.mt/,https://www.instagram.com/wellingtonfagundes222/
,79,Wilder Morais,PP,GO,https://twitter.com/wildermorais,https://www.facebook.com/wildermorais/,https://www.instagram.com/wildermorais/
,80,Zeze Perrella,PMDB,MG,https://twitter.com/zezeperrella,https://www.facebook.com/zezeperrella/,https://www.instagram.com/zezeperrella/