id,name,party,party_n,state,description1,description2,source,twitter,facebook,instagram
43,José Maranhão,PMDB,15,PB,"José Targino Maranhão, mais conhecido como Zé Maranhão (Araruna, 6 de setembro de 1933), é um empresário e político brasileiro, atualmente senador pela Paraíba, filiado ao Partido do Movimento Democrático Brasileiro (PMDB).","Foi deputado estadual, deputado federal, vice-governador e governador do estado da Paraíba em três ocasiões. Presidiu a Comissão de Constituição, Justiça e Cidadania (CCJ) do Senado.",Wikipédia,josemaranhaopb,zemaranhao,josemaranhaopb
44,José Medeiros,PSD ,55,MT,"José Antonio dos Santos Medeiros, ou simplesmente José Medeiros, (Caicó, 19 de março de 1970) é policial rodoviário federal, professor e político brasileiro filiado ao Partido Social Democrático e atualmente senador por Mato Grosso.",José Medeiros é graduado em Matemática pela Universidade Federal do Mato Grosso e Direito pelo Centro de Ensino Superior de Rondonópolis e atuou como professor e agente da Polícia Rodoviária Federal.,Wikipédia,josemedeirosmt,senadorjosemedeiros,senadorjosemedeiros
45,José Pimentel,PT,13,CE,"José Barroso Pimentel (Picos, 16 de outubro de 1953) é um advogado, bancário e político brasileiro, filiado Partido dos Trabalhadores.","Foi eleito deputado federal por quatro mandatos consecutivos, de 1995 a 2011, tendo exercido o cargo de relator-geral do Orçamento Geral da União em 2008. Também foi ministro da Previdência Social durante o segundo mandato do governo Lula.",Wikipédia,josepimentel,JosePimentelPT,
46,José Serra,PSDB,45,SP,"José Serra (São Paulo, 19 de março de 1942) é um político brasileiro filiado ao Partido da Social Democracia Brasileira. Foi ministro das Relações Exteriores no governo Michel Temer, até pedir demissão em 22 de fevereiro de 2017 por problemas de saúde.","O tucano já foi governador e prefeito de São Paulo, presidente nacional do partido e ministro da Saúde e do Planejamento no governo FHC.",Wikipédia,joseserra_,JoseSerraOficial,_joseserra
47,Kátia Abreu,PMDB,15,TO,"Kátia Regina de Abreu (Goiânia, 2 de fevereiro de 1962) é uma empresária, pecuarista e política brasileira. Foi a ministra da Agricultura, Pecuária e Abastecimento durante o segundo governo de Dilma Rousseff.","Formada em psicologia na Universidade Católica de Goiás, tornou-se pecuarista ao assumir, com a morte do marido em 1987, uma fazenda no antigo norte goiano, atualmente Tocantins. Mudou-se para a fazenda mesmo sem muito conhecimento de como conduzi-la.",Wikipédia,KatiaAbreu,senadorakatiaabreu,senadorakatiaabreu
48,Lasier Martins,PSD,55,RS,"Lasier Costa Martins (General Câmara, 14 de abril de 1942) é um político, advogado e jornalista brasileiro. Filiado ao Partido Social Democrata, é senador pelo Rio Grande do Sul.","Advogado de formação, trabalhou nas emissoras do Grupo RBS, uma das maiores empresas de comunicação do país, onde foi comentarista, especialmente, por quase três décadas no Jornal do Almoço, da RBS TV (afiliada da Rede Globo no Rio Grande do Sul e em Santa Catarina).",Wikipédia,lasiermartins,LasierMartinsOficial,lasiermartins
49,Lídice da Mata,PSB,40,BA,"Lídice da Mata e Sousa (Cachoeira, 12 de março de 1956) é uma política e economista brasileira. Exerce atualmente o cargo de senadora pela Bahia.","Filha de Margarida da Mata e Souza e do sindicalista Aurelio Pereira e Souza, um comunista histórico, Lídice teve intensa participação nas lutas populares pela anistia e na campanha das Diretas Já. Formou-se na Faculdade de Ciências Econômicas da Universidade Federal da Bahia em 1980.",Wikipédia,lidicedamata,LidicedaMata,lidicedamata
50,Lindbergh Farias,PT,13,RJ,"Luiz Lindbergh Farias Filho, conhecido como Lindbergh Farias (João Pessoa, 8 de dezembro de 1969), é um ex-líder estudantil e político brasileiro. Lindbergh cursou medicina e direito, mas não chegou a concluir a graduação.","Lindberg ganhou fama como líder estudantil. Em 1992, obteve destaque no cenário nacional quando, enquanto presidente da União Nacional dos Estudantes, tornou-se um dos principais líderes do movimento estudantil dos caras-pintadas contra o então presidente Fernando Collor de Mello.",Wikipédia,LindbergFarias,lindbergh.farias,lindberghfarias
51,Lúcia Vânia,PSB,40,GO,"Lúcia Vânia Abrão Costa (Cumari, 15 de outubro de 1944) é uma jornalista e política brasileira. Na atual legislatura, é presidente da Comissão de Educação, Cultura e Esporte do Senado Federal.","Foi primeira-dama de Goiás durante o governo de Irapuan Costa Júnior, com quem foi casada e teve três filhos. É irmã do ex-senador de Tocantins Moisés Abrão Neto, prima do ex-deputado federal Pedrinho Abrão e do radialista Jason Abrão e tia do deputado federal Marcos Abrão.",Wikipédia,Lucia_Vania,luciavaniasenadora,
52,Magno Malta,PR,22,ES,"Magno Malta (Macarani, 16 de outubro de 1957) é um pastor evangélico, cantor e senador brasileiro pelo Espírito Santo, filiado ao Partido da República.","Tornou-se pastor evangélico e integrante da banda gospel Tempero do Mundo, começando sua carreira pública em 1993 como vereador em Cachoeiro de Itapemirim, no Espírito Santo.",Wikipédia,MagnoMaltaOfc,magnomalta,magnomalta
53,Marcelo Crivella,PRB,10,RJ,"Marcelo Bezerra Crivella (Rio de Janeiro, 9 de outubro de 1957) é um político, cantor, compositor, engenheiro, escritor religioso brasileiro e atual prefeito do Rio de Janeiro, filiado ao Partido Republicano Brasileiro.","A ligação entre Marcelo Crivella e a Igreja Universal do Reino de Deus (IURD) é alvo frequente de críticas. A IURD é acusada de fazer propaganda eleitoral pelo senador, o que é um crime eleitoral.",Wikipédia,MCrivella,marcelocrivella,mcrivella
54,Maria do Carmo Alves,DEM,25,SE,"Maria do Carmo do Nascimento Alves (Cedro de São João, 23 de agosto de 1941) é uma política brasileira, filiada ao Democratas. É esposa do político João Alves Filho, ex-governador do estado por três mandatos e ex-prefeito de Aracaju.","Advogada formada pela Universidade Federal de Sergipe, Maria do Carmo vem de uma família com negócios no ramo imobiliário.",Wikipédia,mariasenadora,mariadocarmo251,
55,Marta Suplicy,PMDB,15,SP,"Marta Teresa Smith de Vasconcellos Suplicy (São Paulo, 18 de março de 1945) é uma política, psicanalista e sexóloga brasileira. Nos governos Lula e Dilma Rousseff, foi ministra do Turismo e da Cultura, respectivamente.","De 2001 a 2005, comandou a Prefeitura de São Paulo. Nas eleições para o mesmo cargo em 2016, Marta foi derrotada pelo atual prefeito da cidade, João Doria (PSDB).",Wikipédia,SenadoraMarta,SenadoraMarta,senadoramarta
56,Omar Aziz,PSD,55,AM,"Omar José Abdel Aziz (Garça, 13 de agosto de 1958) é um político brasileiro e ex-governador do Amazonas.","Em 4 de abril de 2014, Omar Aziz renunciou ao governo do Amazonas para disputar uma vaga no Senado Federal. O vice-governador, José Melo, assumiu seu lugar.",Wikipédia,OmarAzizPSD,OmarAzizPSD,omarazizpsd
57,Otto Alencar,PSD,55,BA,"Otto Roberto Mendonça de Alencar (Ruy Barbosa, 28 de agosto de 1947) é um político, médico e ex-professor brasileiro.","Em setembro de 2011, Otto Alencar ajudou a fundar o Partido Social Democrático (PSD), junto com o então prefeito de São Paulo, Gilberto Kassab.",Wikipédia,ottoalencar,ottoalencaroficial,ottoalencar
58,Pastor Valadares,PDT,12,RO,"Sebastião Valadares Neto (Santo Agostinho, 12 de agosto de 1963) é um pastor, ligado à igreja Assembleia de Deus, e político brasileiro, filiado ao Partido Democrático Trabalhista. Atuou como suplente do senador Acir Gurgacz.","É presidente da Convenção das Assembleias de Deus em Rondônia, Ministério de Madureira. É também um dos apresentadores do programa evangélico Deus Fala Comigo, transmitido no estado.",Wikipédia,ValadaresPSB,ValadaresPSB,senadorvaladares
59,Paulo Bauer,PSDB,45,SC,"Paulo Roberto Bauer (Blumenau, 20 de março de 1957) é um empresário e político brasileiro. Formou-se em ciências contábeis e em administração de empresas de 1975 em 1980, na FURJ de Joinville, onde foi líder estudantil.","Em 2010 foi eleito senador por Santa Catarina, com mandato até 31 de janeiro de 2019. Seu primeiro suplente é Cesar Souza e o segundo, Athos de Almeida Lopes.",Wikipédia,paulobauer45,paulobauer,paulobauer45
60,Paulo Paim,PT,13,RS,"Paulo Renato Paim (Caxias do Sul, 15 de março de 1950) é um sindicalista e político brasileiro filiado ao Partido dos Trabalhadores.","Paulo Paim nasceu na cidade de Caxias do Sul, RS, um dos dez filhos do casal Ignácio Alves Paim e Itália Ventura da Silva Paim.",Wikipédia,paulopaim,paulopaim,paulopaimsenador
61,Paulo Rocha,PT,13,PA,"Paulo Roberto Galvão da Rocha (Terra Alta, 1 de abril de 1951) é um sindicalista e político brasileiro. Técnico em Artes Gráficas, na década de 1980 presidiu o Sindicato dos Gráficos e a Central Única dos Trabalhadores-PA.","Rocha foi líder do Sindicato dos Trabalhadores das Indústrias Gráficas, ajudou a fundar o PT e a criação da Central Única dos Trabalhadores (CUT) no Pará, sendo o primeiro presidente da entidade no estado.",Wikipédia,Sen_PauloRocha,PauloRochaSenador,paulorocha_senador
62,Pedro Chaves,PSC,20,MS,"Pedro Chaves dos Santos Filho (Campo Grande, 7 de dezembro de 1940) é um empresário e político brasileiro, de Mato Grosso do Sul. Com a cassação de Delcídio, ocorrida em 10 de maio de 2016, Pedro Chaves foi convocado a assumir o cargo de senador em até 30 dias, vindo a tomar posse em 17 de maio do mesmo ano","O empresário e político é um dos sete filhos dos imigrantes Pedro Chaves e Joana Mendes dos Santos. Após concluir sua graduação e mestrado em economia, lançou-se na vida empresarial ajudando a fundar um dos maiores conglomerados educacionais do interior do Brasil.",Wikipédia,senpedrochaves,senadorpedrochaves,senadorpedrochaves
63,Pinto Itamaraty,PSDB,45,MA,"José Eleonildo Soares, conhecido no meio político como Pinto Itamaraty (São Luís, 10 de maio de 1960), é um radialista e político brasileiro. Assumiu o mandato de senador da República em outubro de 2016, após licença do titular Roberto Rocha.","Antes de entrar na política em 2000, José Eleonildo Soares era sócio da radiola Itamaraty, ganhando inicialmente o nome de Pinto da Itamaraty. Em 2000, entreou na política como Pinto Itamaraty e sendo eleito vereador da capital maranhense à época pelo PAN.",Wikipédia,pintoitamaraty,PintoItamaraty,
64,Raimundo Lira,PMDB,15,PB,"Raimundo Lira (Cajazeiras, 16 de dezembro de 1943) é um economista, empresário e político brasileiro. Foi presidente da Comissão Especial do Impeachment que analisou a denúncia contra Dilma Rousseff em 2016.","É filho de José Augusto Lira e França Oliveira Lira. Em 1968, formou-se em Economia pela Universidade Federal da Paraíba e foi presidente do Clube dos Estudantes Universitários em Campina Grande.",Wikipédia,RaimundoLiraPB,SenadorRaimundoLira,senadorraimundolira
65,Randolfe Rodrigues,Rede,18,AP,"Randolph Frederich Rodrigues Alves, mais conhecido como Randolfe Rodrigues (Garanhuns, 6 de novembro de 1972), é historiador e político brasileiro. Desde 2015, Randolfe Rodrigues está filiado à Rede Sustentabilidade.","Nascido em Garanhuns, na zona agreste de Pernambuco, Randolfe reside no Amapá desde os oito anos de idade. Lá se formou em história pela Universidade Federal do Amapá e atuou como professor.",Wikipédia,randolfeap,randolferodrigues,randolferodrigues
66,Regina Sousa,PT,13,PI,"Maria Regina Sousa (União, 4 de julho de 1950) é uma política brasileira, formada em letras e funcionária do Banco do Brasil. Foi secretária de Administração do estado nos dois primeiros governos de Wellington Dias. ",Presidiu o Sindicato dos Bancários e a Central Única dos Trabalhadores (CUT) no Piauí.,Wikipédia,SenadoraRegina,senadorareginasousa,
67,Reguffe,s/ sigla,none,DF,"José Antonio Machado Reguffe (Rio de Janeiro, 5 de setembro de 1972) é um jornalista, economista e político brasileiro, atualmente sem partido.","Ex-líder estudantil, foi presidente do Centro Acadêmico de Economia da Universidade de Brasília e vice-presidente do Diretório Central dos Estudantes da Universidade de Brasília.",Wikipédia,Reguffe,reguffeoficial,reguffe
68,Renan Calheiros,PMDB,15,AL,"José Renan Vasconcelos Calheiros (Murici, 16 de setembro de 1955) é senador eleito pelo PMDB de Alagoas. Foi presidente do Senado por três períodos e ministro da Justiça no governo FHC.",Cumpre seu terceiro mandato no Senado Federal do Brasil (1995–2003 / 2003–2011 / 2011–2019).,Wikipédia,renancalheiros,renancalheirosoficial,
69,Ricardo Ferraço,PSDB,45,ES,"Ricardo de Rezende Ferraço (Cachoeiro do Itapemirim, 17 de agosto de 1963) é um político brasileiro, atualmente filiado ao Partido da Social Democracia Brasileira. É filho do também político Theodorico Ferraço.","Tendo pertencido a PSDB, PTB, PPS, PMDB, é atualmente filiado ao PSDB. Começou a carreira pública como vereador, em 1982, na cidade de Cachoeiro do Itapemirim.",Wikipédia,RicardoFerraco,RicardoFerraco,ricardoferraco
70,Roberto Muniz,PP,11,BA,"Roberto de Oliveira Muniz (Salvador, 23 de novembro de 1963) é engenheiro e político brasileiro, filiado ao Partido Progressista. Presidiu a Associação Brasileira das Concessionárias Privadas de Serviços Públicos de Água e Esgoto.","Assumiu o mandato de senador, após a nomeação de Walter Pinheiro, como secretário da Educação da Bahia, pelo governador Rui Costa.",Wikipédia,,,
71,Roberto Requião,PMDB,15,PR,"Roberto Requião de Mello e Silva (Curitiba, 5 de março de 1941) é advogado, jornalista, urbanista e político brasileiro.","Integrante de influente família política paranaense, é filho do médico e ex-prefeito de Curitiba Wallace Thadeu de Mello e Silva, e de Lucy Requião.  Governou o estado do Paraná até 1º de abril de 2010, quando renunciou ao cargo para se candidatar ao Senado.",Wikipédia,requiaopmdb,robertorequiao,requiaopmdb
72,Roberto Rocha,PSB,40,MA,"Roberto Coelho Rocha (São Luís, 4 de agosto de 1965) é um empresário e político brasileiro, filiado ao Partido Socialista Brasileiro. Roberto Rocha foi eleito senador pelo Maranhão nas eleições de 2014.","Formado em Administração de empresas, Rocha já foi deputado estadual e deputado federal.",Wikipédia,robertorocha400,robertorocha400,robertorocha400
73,Romário,Podemos,19,RJ,"Romário de Souza Faria, mais conhecido apenas como Romário (Rio de Janeiro, 29 de janeiro de 1966), é um ex-futebolista e senador brasileiro. Em sua carreira no futebol, Romário atuava como atacante, tido como um dos melhores jogadores de todos os tempos.","Nas eleições de 2014, foi eleito senador pelo PSB do Rio de Janeiro. Em 2017, Romário anunciou sua filiação ao Podemos (ex-PTN).",Wikipédia,RomarioOnze,romariodesouzafaria,romariofaria
74,Romero Jucá,PMDB,15,RR,"Romero Jucá Filho (Recife, 30 de novembro de 1954) é um economista e político brasileiro. Foi ministro do Planejamento do governo Michel Temer e ministro da Previdência Social no governo Lula.","É dono do maior grupo de comunicação do estado de Roraima sendo duas emissoras de televisão na capital Boa Vista afiliadas da Rede Record, TV Imperial, e afiliadas da Rede Bandeirantes além de um jornal impresso e duas estações de rádio.",Wikipédia,romerojuca,senromerojuca,senromerojuca
75,Ronaldo Caiado,DEM,25,GO,"Ronaldo Ramos Caiado (Anápolis, 25 de setembro de 1949) é um médico ortopedista e senador do DEM. Caiado é integrante de uma família de produtores rurais com forte presença na política de Goiás. É neto do ex-deputado federal Antônio Ramos Caiado.","O senador está em seu primeiro mandato no Senado e já concorreu à Presidência da República, em 1989.",Wikipédia,ronaldocaiado,ronaldocaiado25,ronaldocaiado
76,Rose de Freitas,PMDB,15,ES,"Rosilda de Freitas, mais conhecida como Rose de Freitas (Caratinga, 23 de janeiro de 1949), é senadora pelo PMDB do Espírito Santo.","Filiada ao antigo MDB desde os anos 1970, elegeu-se deputada estadual pelo Espírito Santo em 1982, pelo PMDB. Em 1986, tornou-se deputada federal, sendo uma constituinte de 1988. ",Wikipédia,senadorarose,senadorarosedefreitas,
77,Sérgio Petecão,PSD,55,AC,"Sérgio de Oliveira Cunha, mais conhecido por Sérgio Petecão (Rio Branco, 24 de abril de 1960) é senador pelo PSD do Acre e um dos fundadores da sigla, junto com o ex-prefeito de São Paulo Gilberto Kassab.","Foi eleito três vezes para deputado estadual e perdeu duas eleições para a Prefeitura de Rio Branco (AC). Durante o mandato de deputado estadual, foi presidente da Assembleia Legislativa. Elegeu-se deputado federal em 2006 e senador em 2010.",Wikipédia,senadorpetecao,sergiopetecao,
78,Simone Tebet,PMDB,15,MS,"Simone Nassar Tebet (Três Lagoas, 22 de fevereiro de 1970) é uma advogada, professora e política brasileira. Foi prefeita de Três Lagoas (MS) e vice-governadora do Mato Grosso do Sul.","É filha do político Ramez Tebet, senador e ex-presidente do Congresso Nacional falecido em 2006. Formou-se em Direito pela Universidade Federal do Rio de Janeiro.",Wikipédia,SimoneTebetms,simonetebet,simonetebet
79,Tasso Jereissati,PSDB,45,CE,"Tasso Ribeiro Jereissati (Fortaleza, 15 de dezembro de 1948) é senador da República pelo PSDB. Governou o Ceará em três gestões: 1987-1990, 1995-1998 e 1999-2002.","Filho de Carlos Jereissati e Maria de Lourdes Ribeiro Jereissati, é formado em Administração de Empresas pela FGV.",Wikipédia,tassocomvoce,tassocomvoce,tassocomvoce
80,Telmário Mota,PTB,14,RR,"Telmário Mota de Oliveira (Normandia, 15 de fevereiro de 1958) é um contador e político brasileiro, filiado ao Partido Trabalhista Brasileiro.","Em 2016, foi o relator do Processo de cassação de Delcídio Amaral que foi aprovado por unanimidade no Senado Federal.",Wikipédia,TelmarioMotaRR,telmariomotarr,telmariomotarr
81,Thieres Pinto,PTB,14,RR,"Thieres Pinto de Mesquita Filho (Santa Quitéria, 27 de abril de 1962) é um empresário e político brasileiro, filiado ao Partido Trabalhista Brasileiro. Em 2014, foi eleito primeiro suplente do senador Telmário Mota.","Em dezembro de 2016, após licença de Telmário Mota, Thieres Pinto chegou a tomar posse para o exercício do mandato.",Wikipédia,,,
82,Valdir Raupp,PMDB,15,RO,"Valdir Raupp de Matos (São João do Sul, 24 de agosto de 1955) é um político brasileiro, filiado ao Partido do Movimento Democrático Brasileiro.","Catarinense, migrou para Rondônia em 1977. Em 1982, elegeu-se vereador em Cacoal. Dois anos depois, tornou-se o primeiro prefeito de Rolim de Moura, sendo reeleito para o cargo em 1992.",Wikipédia,SENADORRAUPP,senadorrauppro,
83,Vanessa Grazziotin,PCdoB,65,AM,"Vanessa Grazziotin (Videira, 29 de junho de 1961) é uma farmacêutica e senadora filiada ao Partido Comunista do Brasil.","É casada com Eron Bezerra, ex-deputado estadual do Amazonas e ex-secretário de Estado de Produção Rural do estado.",Wikipédia,vanessasenadora,VanessaGrazziotin,vanessagrazziotin
84,Vicentinho Alves,PR,22,TO,"Vicente Alves de Oliveira (Porto Nacional, 1º de outubro de 1957) é um político brasileiro. Conhecido como Vicentinho Alves, é pecuarista e piloto comercial.",Prefeito de Porto Nacional de 1989 a 1992. Elegeu-se em 1998 e 2002 deputado estadual.,Wikipédia,SenVicentinho,vicentinhoalves,
85,Virginio de Carvalho,PSC,20,SE,"Virginio José de Carvalho Neto (Aracaju, 17 de abril de 1953) é pastor e presidente da Assembleia de Deus em Sergipe, e também um político brasileiro filiado ao PSC.","Em outubro de 2016, após licença da titular Maria do Carmo Alves e do primeiro suplente Ricardo Franco, assumiu o mandato para o exercício no Senado Federal.",Wikipédia,,senadorvirginiodecarvalho,
86,Waldemir Moka,PMDB,15,MS,"Waldemir Moka Miranda de Britto (Bela Vista, 10 de outubro de 1951) é um médico, professor e senador.","Graduou-se em medicina pela Universidade Federal de Mato Grosso do Sul, em Campo Grande, onde, em 1976, exerceu a presidência diretório acadêmico da faculdade de medicina.",Wikipédia,senadormoka,SenadorWaldemirMOKA,senadormoka
87,Wellington Fagundes,PR,22,MT,"Wellington Antônio Fagundes (Rondonópolis, 1 de junho de 1957) é médico veterinário e senador.","Em 2016 foi o relator da Lei de Diretrizes Orçamentárias (LDO), que orientou a elaboração do Orçamento da União.",Wikipédia,sen_wellington,wellington.fagundes.mt,wellingtonfagundes222
88,Wilder Morais,PP,11,GO,"Wilder Pedro de Morais (Taquaral de Goiás, 29 de junho de 1968) é um empresário, engenheiro civil e político brasileiro.","Com pouco tempo de experiência profissional, criou juntamente com outros sócios, a Orca Construtora, que reformou e construiu edificações da rede Carrefour no país.",Wikipédia,wildermorais,wildermorais,wildermorais
89,Zeze Perrella,PMDB,15,MG,"José Perrella de Oliveira Costa (São Gonçalo do Pará, 22 de fevereiro de 1957), ou Zeze Perella, é um empresário, dirigente esportivo e político brasileiro do estado de Minas Gerais.","Já esteve filiado a PFL, PSDB, PDT e PTB. Atualmente, faz parte da bancada do PMDB no Senado.",Wikipédia,zezeperrella,zezeperrella,zezeperrella